title,url,asin,price,rating,review_count
,https://www.amazon.com.au/Apple-2024-MacBook-13-inch-Laptop/dp/B0CX262286/ref=sr_1_11?dib=eyJ2IjoiMSJ9.oBdAc7O3znd_-gFuihYepjLhEqX0L8rHRIrahXS8-g5uocx8oT_OYBMhW-TMe_MiSNw7wcwKdlwhzcTjGU4EfKx4rjl_MEKOBmI7LPN0rQqXhV-imCoKon0as71nROYVuJPFY5OSVbFWwmWm0lm-P6pqlZs9UfQFjNSOa5Zb65PTLeGba_-XFFUTYRozzAAiimnR7fXRdwgeFeqt8S100mjHBs9mS1GiGeFJIO9jiunKmIWDyp3jKQN59HjQb-pK5WJj97-91Oy0ifILPe-zUUdEBWwaG9dFLNVxdI_CzVk.dbp9lNBAr9G1TDhsRK85oQOAYau7QgdIHD7yUuxTCtI&dib_tag=se&keywords=Macbook+pro+m3&qid=1746501686&sr=8-11,B0CX262286,"$1,744.00",5.0 out of 5 stars,
,https://www.amazon.com.au/Apple-MacBook-14-inch-10-core-Unified/dp/B0DLJ7WS5F/ref=sr_1_12?dib=eyJ2IjoiMSJ9.oBdAc7O3znd_-gFuihYepjLhEqX0L8rHRIrahXS8-g5uocx8oT_OYBMhW-TMe_MiSNw7wcwKdlwhzcTjGU4EfKx4rjl_MEKOBmI7LPN0rQqXhV-imCoKon0as71nROYVuJPFY5OSVbFWwmWm0lm-P6pqlZs9UfQFjNSOa5Zb65PTLeGba_-XFFUTYRozzAAiimnR7fXRdwgeFeqt8S100mjHBs9mS1GiGeFJIO9jiunKmIWDyp3jKQN59HjQb-pK5WJj97-91Oy0ifILPe-zUUdEBWwaG9dFLNVxdI_CzVk.dbp9lNBAr9G1TDhsRK85oQOAYau7QgdIHD7yUuxTCtI&dib_tag=se&keywords=Macbook+pro+m3&qid=1746501686&sr=8-12,B0DLJ7WS5F,"$2,597.00",N/A,0
,https://www.amazon.com.au/Apple-MacBook-15-inch-10%E2%80%91core-Unified/dp/B0DLHR4579/ref=sr_1_13?dib=eyJ2IjoiMSJ9.oBdAc7O3znd_-gFuihYepjLhEqX0L8rHRIrahXS8-g5uocx8oT_OYBMhW-TMe_MiSNw7wcwKdlwhzcTjGU4EfKx4rjl_MEKOBmI7LPN0rQqXhV-imCoKon0as71nROYVuJPFY5OSVbFWwmWm0lm-P6pqlZs9UfQFjNSOa5Zb65PTLeGba_-XFFUTYRozzAAiimnR7fXRdwgeFeqt8S100mjHBs9mS1GiGeFJIO9jiunKmIWDyp3jKQN59HjQb-pK5WJj97-91Oy0ifILPe-zUUdEBWwaG9dFLNVxdI_CzVk.dbp9lNBAr9G1TDhsRK85oQOAYau7QgdIHD7yUuxTCtI&dib_tag=se&keywords=Macbook+pro+m3&qid=1746501686&sr=8-13,B0DLHR4579,"$1,877.00",N/A,0
,https://www.amazon.com.au/Apple-2024-MacBook-15-inch-Laptop/dp/B0CX257855/ref=sr_1_14?dib=eyJ2IjoiMSJ9.oBdAc7O3znd_-gFuihYepjLhEqX0L8rHRIrahXS8-g5uocx8oT_OYBMhW-TMe_MiSNw7wcwKdlwhzcTjGU4EfKx4rjl_MEKOBmI7LPN0rQqXhV-imCoKon0as71nROYVuJPFY5OSVbFWwmWm0lm-P6pqlZs9UfQFjNSOa5Zb65PTLeGba_-XFFUTYRozzAAiimnR7fXRdwgeFeqt8S100mjHBs9mS1GiGeFJIO9jiunKmIWDyp3jKQN59HjQb-pK5WJj97-91Oy0ifILPe-zUUdEBWwaG9dFLNVxdI_CzVk.dbp9lNBAr9G1TDhsRK85oQOAYau7QgdIHD7yUuxTCtI&dib_tag=se&keywords=Macbook+pro+m3&qid=1746501686&sr=8-14,B0CX257855,"$2,094.00",4.4 out of 5 stars,
,https://www.amazon.com.au/Apple-MacBook-13-inch-10%E2%80%91core-Unified/dp/B0DLHYRR68/ref=sr_1_15?dib=eyJ2IjoiMSJ9.oBdAc7O3znd_-gFuihYepjLhEqX0L8rHRIrahXS8-g5uocx8oT_OYBMhW-TMe_MiSNw7wcwKdlwhzcTjGU4EfKx4rjl_MEKOBmI7LPN0rQqXhV-imCoKon0as71nROYVuJPFY5OSVbFWwmWm0lm-P6pqlZs9UfQFjNSOa5Zb65PTLeGba_-XFFUTYRozzAAiimnR7fXRdwgeFeqt8S100mjHBs9mS1GiGeFJIO9jiunKmIWDyp3jKQN59HjQb-pK5WJj97-91Oy0ifILPe-zUUdEBWwaG9dFLNVxdI_CzVk.dbp9lNBAr9G1TDhsRK85oQOAYau7QgdIHD7yUuxTCtI&dib_tag=se&keywords=Macbook+pro+m3&qid=1746501686&sr=8-15,B0DLHYRR68,"$1,994.00",N/A,0
,https://www.amazon.com.au/Apple-MacBook-i7-9750H-256GB-Renewed/dp/B0DBGZ4QCL/ref=sr_1_16?dib=eyJ2IjoiMSJ9.oBdAc7O3znd_-gFuihYepjLhEqX0L8rHRIrahXS8-g5uocx8oT_OYBMhW-TMe_MiSNw7wcwKdlwhzcTjGU4EfKx4rjl_MEKOBmI7LPN0rQqXhV-imCoKon0as71nROYVuJPFY5OSVbFWwmWm0lm-P6pqlZs9UfQFjNSOa5Zb65PTLeGba_-XFFUTYRozzAAiimnR7fXRdwgeFeqt8S100mjHBs9mS1GiGeFJIO9jiunKmIWDyp3jKQN59HjQb-pK5WJj97-91Oy0ifILPe-zUUdEBWwaG9dFLNVxdI_CzVk.dbp9lNBAr9G1TDhsRK85oQOAYau7QgdIHD7yUuxTCtI&dib_tag=se&keywords=Macbook+pro+m3&qid=1746501686&sr=8-16,B0DBGZ4QCL,$679.00,2.4 out of 5 stars,
,https://www.amazon.com.au/Apple-MacBook-15-inch-10%E2%80%91core-Unified/dp/B0DLHLXHDB/ref=sr_1_17?dib=eyJ2IjoiMSJ9.oBdAc7O3znd_-gFuihYepjLhEqX0L8rHRIrahXS8-g5uocx8oT_OYBMhW-TMe_MiSNw7wcwKdlwhzcTjGU4EfKx4rjl_MEKOBmI7LPN0rQqXhV-imCoKon0as71nROYVuJPFY5OSVbFWwmWm0lm-P6pqlZs9UfQFjNSOa5Zb65PTLeGba_-XFFUTYRozzAAiimnR7fXRdwgeFeqt8S100mjHBs9mS1GiGeFJIO9jiunKmIWDyp3jKQN59HjQb-pK5WJj97-91Oy0ifILPe-zUUdEBWwaG9dFLNVxdI_CzVk.dbp9lNBAr9G1TDhsRK85oQOAYau7QgdIHD7yUuxTCtI&dib_tag=se&keywords=Macbook+pro+m3&qid=1746501686&sr=8-17,B0DLHLXHDB,"$2,199.00",5.0 out of 5 stars,
,https://www.amazon.com.au/Apple-MacBook-13-inch-10%E2%80%91core-Unified/dp/B0DLHQFBJK/ref=sr_1_18?dib=eyJ2IjoiMSJ9.oBdAc7O3znd_-gFuihYepjLhEqX0L8rHRIrahXS8-g5uocx8oT_OYBMhW-TMe_MiSNw7wcwKdlwhzcTjGU4EfKx4rjl_MEKOBmI7LPN0rQqXhV-imCoKon0as71nROYVuJPFY5OSVbFWwmWm0lm-P6pqlZs9UfQFjNSOa5Zb65PTLeGba_-XFFUTYRozzAAiimnR7fXRdwgeFeqt8S100mjHBs9mS1GiGeFJIO9jiunKmIWDyp3jKQN59HjQb-pK5WJj97-91Oy0ifILPe-zUUdEBWwaG9dFLNVxdI_CzVk.dbp9lNBAr9G1TDhsRK85oQOAYau7QgdIHD7yUuxTCtI&dib_tag=se&keywords=Macbook+pro+m3&qid=1746501686&sr=8-18,B0DLHQFBJK,"$1,994.00",N/A,0
,https://www.amazon.com.au/Apple-2024-MacBook-15-inch-Laptop/dp/B0CX27FXGV/ref=sr_1_19?dib=eyJ2IjoiMSJ9.oBdAc7O3znd_-gFuihYepjLhEqX0L8rHRIrahXS8-g5uocx8oT_OYBMhW-TMe_MiSNw7wcwKdlwhzcTjGU4EfKx4rjl_MEKOBmI7LPN0rQqXhV-imCoKon0as71nROYVuJPFY5OSVbFWwmWm0lm-P6pqlZs9UfQFjNSOa5Zb65PTLeGba_-XFFUTYRozzAAiimnR7fXRdwgeFeqt8S100mjHBs9mS1GiGeFJIO9jiunKmIWDyp3jKQN59HjQb-pK5WJj97-91Oy0ifILPe-zUUdEBWwaG9dFLNVxdI_CzVk.dbp9lNBAr9G1TDhsRK85oQOAYau7QgdIHD7yUuxTCtI&dib_tag=se&keywords=Macbook+pro+m3&qid=1746501686&sr=8-19,B0CX27FXGV,"$2,197.00",4.4 out of 5 stars,
,https://www.amazon.com.au/Apple-2024-MacBook-15-inch-Laptop/dp/B0CX27MQJV/ref=sr_1_20?dib=eyJ2IjoiMSJ9.oBdAc7O3znd_-gFuihYepjLhEqX0L8rHRIrahXS8-g5uocx8oT_OYBMhW-TMe_MiSNw7wcwKdlwhzcTjGU4EfKx4rjl_MEKOBmI7LPN0rQqXhV-imCoKon0as71nROYVuJPFY5OSVbFWwmWm0lm-P6pqlZs9UfQFjNSOa5Zb65PTLeGba_-XFFUTYRozzAAiimnR7fXRdwgeFeqt8S100mjHBs9mS1GiGeFJIO9jiunKmIWDyp3jKQN59HjQb-pK5WJj97-91Oy0ifILPe-zUUdEBWwaG9dFLNVxdI_CzVk.dbp9lNBAr9G1TDhsRK85oQOAYau7QgdIHD7yUuxTCtI&dib_tag=se&keywords=Macbook+pro+m3&qid=1746501686&sr=8-20,B0CX27MQJV,N/A,4.4 out of 5 stars,
